info | unknown:0 | 19:59:37.761 | NMI interrupt, should be rendering
info | unknown:0 | 19:59:37.765 | NMI interrupt, should be rendering
info | unknown:0 | 19:59:37.770 | NMI interrupt, should be rendering
info | unknown:0 | 19:59:37.774 | NMI interrupt, should be rendering
info | unknown:0 | 19:59:37.778 | NMI interrupt, should be rendering
info | unknown:0 | 19:59:40.551 | NMI interrupt, should be rendering
info | unknown:0 | 19:59:40.555 | NMI interrupt, should be rendering
info | unknown:0 | 19:59:40.559 | NMI interrupt, should be rendering
info | unknown:0 | 19:59:40.564 | NMI interrupt, should be rendering
info | unknown:0 | 19:59:43.366 | NMI interrupt, should be rendering
info | unknown:0 | 19:59:46.275 | NMI interrupt, should be rendering
info | unknown:0 | 19:59:46.280 | NMI interrupt, should be rendering
info | unknown:0 | 19:59:49.087 | NMI interrupt, should be rendering
info | unknown:0 | 19:59:49.091 | NMI interrupt, should be rendering
info | unknown:0 | 19:59:49.095 | NMI interrupt, should be rendering
info | unknown:0 | 19:59:51.767 | NMI interrupt, should be rendering
info | unknown:0 | 19:59:51.771 | NMI interrupt, should be rendering
info | unknown:0 | 19:59:51.776 | NMI interrupt, should be rendering
info | unknown:0 | 19:59:51.780 | NMI interrupt, should be rendering
info | unknown:0 | 19:59:51.784 | NMI interrupt, should be rendering
info | unknown:0 | 19:59:51.788 | NMI interrupt, should be rendering
info | unknown:0 | 19:59:54.482 | NMI interrupt, should be rendering
info | unknown:0 | 19:59:55.844 | ENDING "TetroidNES" VERSION "1.0.0" EXIT CODE 0
